index,name,synopsis,genre,netflix,tiving
49,SAS 특수부대: 라이즈 오브 블랙 스완,파리행 열차가 탈취됐다. 적색 수배가 내려진 악명 높은 블랙 스완에 의해. 그 열차에 여자 친구와 함께 타고 있던 특수 부대 대원 톰. 그는 혼자서 싸움을 시작한다. 아주 힘든 싸움을.,"밀리터리 영화, 영국 작품, 도서 원작 영화",1,0
50,올드 가드,"수백 년 동안 어둠 속에서 싸워왔다. 인류를 지키는 불멸의 전사들. 큰 잠재력을 가진 신참을 발견하지만, 그들의 놀라운 힘도 발각된다. 잡혀선 안 된다, 끝까지 싸운다!","미국 영화, 도서 원작 영화, 액션 & 어드벤처",1,0
51,딜리셔스: 프렌치 레스토랑의 시작,프랑스 혁명이 일어나기 얼마 전. 귀족 밑에서 일하다가 해고당한 퉁명스러운 요리사가 강인한 의지의 활기찬 수습생을 만나 최초의 레스토랑을 탄생시킨다.,"사회 이슈 드라마 장르 영화, 프랑스 작품, 시대물",1,0
52,내부자들,대한민국을 움직이는 권력자들의 하수인 상구. 처절하게 버림받고 폐인이 된 그의 앞에 나타난 검사 장훈. 복수와 성공에 목마른 두 남자가 손을 잡는다. 권력층의 추악한 민낯을 폭로하기 위해.,스릴러 영화,1,0
53,더 하더 데이 폴,"감옥에서 막 출소한 범법자 조직의 무자비한 보스. 그를 기다리는 이가 있었다. 바로 무법자 냇 러브. 흩어진 도당을 모아 가장 확실한 복수를 계획하니, 이제 남은 건 자비 없는 혈투뿐.","미국 영화, 서부 영화, 액션 & 어드벤처",1,0
54,얼어버린 시간 속에서,잃어버린 지도를 찾기 위해 탐험을 떠난 이들. 두 남자가 광활한 그린란드에서 생존을 위한 싸움을 시작한다. 1909년 극 지방으로 떠난 덴마크 원정대의 실화에 기반한 이야기.,"덴마크 작품, 실화 바탕 영화, 시대물",1,0
55,포인트 블랭크,"임신한 아내가 인질로 납치됐다. 납치범의 요구는 환자로 들어온 자기 보스를 병원에서 빼내라는 것. 이제 간호사인 남편은 아내를 살리기 위해, 원하든 원치 않든 한 남자를 구해야 한다.","프랑스 작품, 액션 & 어드벤처",1,0
56,러빙 어덜츠,"남편의 불륜 사실을 알게 된 아내. 사랑이 처절한 증오로 바뀐 순간, 부부는 자신이 원하는 것을 얻기 위해 극단적인 방법을 선택한다.","덴마크 작품, 도서 원작 영화, 스릴러 영화",1,0
57,콜래트럴,택시기사인 맥스는?600달러를 주겠다는 손님을 태우게 된다. 하지만 세상에 공짜는 없는 법. 맥스가 태운 손님은 사실 암살범인데...,"미국 영화, 스릴러 영화",1,0
58,씽2게더,"버스터 문, 그리고 음악적 재능이 넘치는 그의 친구들. 은둔 생활을 하는 록 스타 클레이 캘러웨이를 새로운 쇼에 캐스팅하기 위해 다 함께 손을 잡는다.","뮤지컬, 어린이 음악, 가족 영화",1,0
59,레드 노티스,전 세계에 지명 수배가 내려진 미술품 도둑과 그를 추적하는 FBI 프로파일러. 늘 한발 앞서 도망치는 사기꾼을 잡기 위해 둘은 어쩔 수 없이 힘을 합쳐야 한다. 싫어도 이를 악물고.,"미국 영화, 액션 & 어드벤처, 코미디",1,0
60,타운,"전문 은행 강도로 살아가는 더그. 범죄가 판치는 도시를 떠나 새 인생을 시작하려 하지만, 그가 이끌던 조직도, FBI도 그를 호락호락 놓아줄 리 없다. 한때 인질로 잡았던 여자와 은밀히 엮인 죄로 결국 덜미가 잡히고 마는가.","미국 영화, 도서 원작 영화, 액션 & 어드벤처",1,0
61,미션 임파서블: 폴아웃,"테러리스트 조직에게서 플루토늄을 지켜라. 스파이 기관 IMF의 정예 요원 이선은 선택의 갈림길에 선다. 미션인가, 동료인가. CIA는 요원을 보내 이선을 압박하고, 이선은 핵전쟁을 막으려 다시 불가능에 도전한다.","영화·스파이, 미국 영화, 액션 & 어드벤처",1,0
62,모노노케 히메,인간을 향한 자연의 증오. 부족을 책임져야 하는 청년 아시타카의 팔에 저주가 되어 새겨진다. 시시각각 다가오는 죽음을 막기 위해 여행을 떠난 아시타카. 하지만 그가 도착한 곳은 인간과 자연의 또 다른 전쟁터였다.,"일본 작품, 가족 영화, 액션 애니",1,0
63,돈 룩 업,지구를 향해 돌진하는 혜성의 존재를 발견한 두 천문학자. 임박한 재앙을 전 인류에 경고하려 언론사를 찾아다니기 시작한다. 하지만 다른 데 정신이 팔린 세상은 시큰둥한 반응뿐. 그래서요?,"사회 이슈 드라마 장르 영화, SF 영화, 미국 영화",1,0
64,365일,직장에서 성공 가도를 달리지만 연인과의 관계는 열정을 잃은 지 오래인 여자. 생일을 맞아 떠난 여행에서 마피아 보스에게 납치당하며 아찔한 나날이 시작된다. 마음을 얻기 위해 365일 동안 뭐든 하겠다는 이 남자를 믿어도 될까.,"폴란드 작품, 도서 원작 영화, 드라마 장르",1,0
65,두 인생을 살아봐,"대학 졸업식 밤, 내털리의 삶은 임신 테스트 후에 두 가지 평행 현실로 나뉜다. 삶과 사랑은 과연 무엇을 안겨줄까?","로맨틱 코미디, 미국 영화, 로맨틱한 영화",1,0
66,안시성,당나라의 침략으로 함락 위기에 빠진 고구려 안시성. 단 5천 명의 군사로 20만 대군과 싸워야 한다. 한 치도 물러설 수 없는 성주 양만춘에게 남은 건 오로지 전략과 전술뿐. 절대적 열세에 몰린 공성전에서 그의 승부수는 통할 것인가.,"밀리터리 영화, 시대물, 액션 & 어드벤처",1,0
67,센과 치히로의 행방불명,마녀가 지배하는 신비한 세계에 발을 들여놓은 치히로. 마녀에게 거역하는 자는 동물로 변하게 되는데...,"일본 작품, 가족 영화, 애니메이션 영화",1,0
68,적벽대전,서기 208년 중국. 강력한 군벌을 이룬 조조에 맞서 손권 측 명장 주유가 유비의 참모 제갈량과 동맹을 맺는다. 10만 연합군과 조조의 100만 대군이 충돌하면서 역사적인 전투가 벌어진다.,"밀리터리 영화, 실화 바탕 영화, 시대물",1,0
